Shape_Leng,起点_1,起点_12,终点_1,终点_12,数量,time,日期,小时
1171.33028265,114.129403058,22.584786428,114.125808041,22.593916813,3,2021-11-20,20211120,16
3853.13011141,113.959747088,22.54868998,113.942637197,22.576475711,3,2021-11-20,20211120,13
673.214823187,114.239246733,22.717406279,114.244634618,22.719939813,3,2021-11-20,20211120,13
673.214823187,114.239246733,22.717406279,114.244634618,22.719939813,3,2021-11-20,20211120,13
3509.13175513,113.886176168,22.74680287,113.867301149,22.770084722,3,2021-11-20,20211120,20
1262.66995354,114.018926026,22.667572121,114.026969425,22.660192068,3,2021-11-20,20211120,11
1144.48437362,114.040386621,22.532764489,114.048443212,22.538663648,3,2021-11-20,20211120,15
3988.15942017,113.856452485,22.578485212,113.882598658,22.555867808,3,2021-11-20,20211120,10
3418.22020245,114.134805207,22.566520198,114.104233176,22.56387044,3,2021-11-20,20211120,10
510.893545619,113.880773898,22.600061705,113.876278111,22.599210165,3,2021-11-20,20211120,20
727.934134445,113.901397035,22.723695674,113.899609231,22.729497312,7,2021-11-20,20211120,16
727.934134445,113.901397035,22.723695674,113.899609231,22.729497312,7,2021-11-20,20211120,16
705.988626567,114.220350462,22.734150577,114.215835455,22.7300428,3,2021-11-20,20211120,21
717.576475287,114.084417408,22.539975404,114.07990698,22.544228785,4,2021-11-20,20211120,9
1012.03688096,114.190582291,22.651261761,114.199614155,22.650304137,3,2021-11-20,20211120,0
956.315574279,114.201419466,22.659445081,114.205938202,22.652702604,4,2021-11-20,20211120,14
1348.96647938,114.045756828,22.528636148,114.054720678,22.536168088,4,2021-11-20,20211120,20
5289.16085796,113.893344895,22.577676428,113.940840857,22.576490232,3,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
724.817540685,114.115058872,22.542136212,114.111455361,22.54714486,4,2021-11-20,20211120,15
706.696876377,114.119516772,22.597201793,114.125808259,22.596419003,4,2021-11-20,20211120,16
1784.94448787,114.064595345,22.548624911,114.07990698,22.544228785,3,2021-11-20,20211120,16
640.921524177,113.824854457,22.632296812,113.829370274,22.635593324,3,2021-11-20,20211120,10
648.306487223,114.156364136,22.655324032,114.152772906,22.651092958,5,2021-11-20,20211120,18
3527.21547155,114.069958053,22.696146321,114.072654349,22.725269111,3,2021-11-20,20211120,22
2931.68872852,113.815837096,22.762323583,113.818520315,22.738163104,3,2021-11-20,20211120,9
1431.69159568,113.92112362,22.675677125,113.911280297,22.668039239,3,2021-11-20,20211120,14
988.989391961,114.05649471,22.562859958,114.064584804,22.559469396,5,2021-11-20,20211120,11
4517.11734159,114.032330272,22.659438142,113.998349035,22.679902359,3,2021-11-20,20211120,20
4517.11734159,114.032330272,22.659438142,113.998349035,22.679902359,3,2021-11-20,20211120,20
628.154931447,114.141080896,22.6150102,114.146463708,22.613447252,3,2021-11-20,20211120,9
1777.53292003,113.884370281,22.735954516,113.898713441,22.729482111,3,2021-11-20,20211120,18
2837.30101339,113.957921504,22.687145792,113.933669034,22.679913073,3,2021-11-20,20211120,14
911.188832064,113.867277208,22.580879895,113.8681845,22.573368412,4,2021-11-20,20211120,10
2354.54976535,113.868199232,22.782570628,113.888880992,22.778484468,3,2021-11-20,20211120,18
4517.8950985,113.888857819,22.581786105,113.856449065,22.604340993,3,2021-11-20,20211120,15
4517.8950985,113.888857819,22.581786105,113.856449065,22.604340993,3,2021-11-20,20211120,15
832.542511171,113.845632129,22.767024553,113.843825047,22.773716201,3,2021-11-20,20211120,21
673.214823187,114.244634618,22.719939813,114.239246733,22.717406279,6,2021-11-20,20211120,18
673.214823187,114.244634618,22.719939813,114.239246733,22.717406279,6,2021-11-20,20211120,18
718.261660162,113.805032332,22.678108817,113.799637109,22.681373991,3,2021-11-20,20211120,14
806.171141931,114.101529474,22.56389779,114.10512804,22.569701195,3,2021-11-20,20211120,15
4978.37085389,114.095219993,22.62653589,114.125808259,22.596419003,3,2021-11-20,20211120,10
761.202190603,113.812204911,22.703992568,113.805905868,22.706447239,3,2021-11-20,20211120,17
1532.34396922,114.079911107,22.533381644,114.082610546,22.545848589,4,2021-11-20,20211120,11
1532.34396922,114.079911107,22.533381644,114.082610546,22.545848589,4,2021-11-20,20211120,11
901.354386655,113.796933128,22.690498304,113.789756587,22.687038965,3,2021-11-20,20211120,20
1026.87602344,114.071796612,22.546031706,114.080808472,22.544212627,5,2021-11-20,20211120,13
1106.11197003,113.942630308,22.587318319,113.942635823,22.578143812,6,2021-11-20,20211120,7
1026.88198016,114.071795998,22.546865988,114.080807918,22.545046942,3,2021-11-20,20211120,10
1005.8207802,113.98040906,22.680880776,113.989386743,22.67993962,3,2021-11-20,20211120,12
853.227881689,114.092530732,22.545672792,114.099742549,22.548069956,3,2021-11-20,20211120,16
669.568257757,114.125831036,22.673963509,114.120436017,22.676417282,3,2021-11-20,20211120,18
1147.72334595,113.890670619,22.56179132,113.882598658,22.555867808,3,2021-11-20,20211120,16
3569.28716125,113.905887853,22.576218643,113.882598658,22.555867808,3,2021-11-20,20211120,16
948.2582859,113.929187082,22.497236299,113.933677774,22.503923775,3,2021-11-20,20211120,10
1524.97548419,113.845628892,22.759528116,113.859178049,22.757664284,3,2021-11-20,20211120,15
2013.60397211,113.955222703,22.575467154,113.937248775,22.57734422,3,2021-11-20,20211120,13
1121.8432764,113.929210249,22.52895747,113.933691495,22.520619542,3,2021-11-20,20211120,16
1121.8432764,113.929210249,22.52895747,113.933691495,22.520619542,3,2021-11-20,20211120,16
728.162278396,114.025192234,22.535895676,114.021619946,22.530834411,3,2021-11-20,20211120,13
1029.42555043,114.10063262,22.55973761,114.105130636,22.567198981,3,2021-11-20,20211120,13
638.925759951,114.065493112,22.657035209,114.060998599,22.653741052,3,2021-11-20,20211120,2
1850.63538661,113.789749829,22.693704616,113.799637109,22.681373991,3,2021-11-20,20211120,15
816.084072441,113.965112634,22.58194517,113.958813753,22.585408269,3,2021-11-20,20211120,18
763.318714632,113.82576236,22.639795202,113.828472995,22.645608233,3,2021-11-20,20211120,13
894.508070564,114.10063262,22.55973761,114.10423047,22.566372695,9,2021-11-20,20211120,10
784.757302708,114.006394571,22.740756124,114.011762348,22.744970678,3,2021-11-20,20211120,18
998.761660585,114.118632252,22.681407431,114.125828488,22.676463425,6,2021-11-20,20211120,17
998.761660585,114.118632252,22.681407431,114.125828488,22.676463425,6,2021-11-20,20211120,17
998.761660585,114.118632252,22.681407431,114.125828488,22.676463425,6,2021-11-20,20211120,17
998.761660585,114.118632252,22.681407431,114.125828488,22.676463425,6,2021-11-20,20211120,17
710.733266073,114.098847019,22.53806956,114.105156453,22.537167166,3,2021-11-20,20211120,19
